,index,titles,urls,asin,asin_url
73,73,Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,https://www.amazon.com/Machine-Learning-PyTorch-Scikit-Learn-learning/dp/1801819319/ref=sr_1_69?qid=1676965004&s=books&sr=1-69,1801819319,https://www.amazon.com/dp/1801819319/
74,74,"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics",https://www.amazon.com/Essential-Math-Data-Science-Fundamental/dp/1098102932/ref=sr_1_70?qid=1676965004&s=books&sr=1-70,1098102932,https://www.amazon.com/dp/1098102932/
75,75,"Learning Python, 5th Edition",https://www.amazon.com/Learning-Python-5th-Mark-Lutz/dp/1449355730/ref=sr_1_71?qid=1676965004&s=books&sr=1-71,1449355730,https://www.amazon.com/dp/1449355730/
76,76,CompTIA Network+ Study Guide: Exam N10-008 (Comptia Network + Study Guide Authorized Courseware),https://www.amazon.com/CompTIA-Network-Study-Guide-Authorized/dp/1119811635/ref=sr_1_72?qid=1676965004&s=books&sr=1-72,1119811635,https://www.amazon.com/dp/1119811635/
77,77,Microsoft Excel 365 Bible,https://www.amazon.com/Excel-365-Bible-Michael-Alexander/dp/1119835100/ref=sr_1_73?qid=1676965004&s=books&sr=1-73,1119835100,https://www.amazon.com/dp/1119835100/
78,78,Design for How People Learn (Voices That Matter),https://www.amazon.com/Design-People-Learn-Voices-Matter/dp/0134211286/ref=sr_1_74?qid=1676965004&s=books&sr=1-74,0134211286,https://www.amazon.com/dp/0134211286/
79,79,"The Data Warehouse Toolkit: The Definitive Guide to Dimensional Modeling, 3rd Edition",https://www.amazon.com/Data-Warehouse-Toolkit-Definitive-Dimensional/dp/1118530802/ref=sr_1_75?qid=1676965004&s=books&sr=1-75,1118530802,https://www.amazon.com/dp/1118530802/
80,80,"The Definitive Guide to DAX: Business Intelligence for Microsoft Power BI, SQL Server Analysis Services, and Excel Second Edition (Business Skills)",https://www.amazon.com/Definitive-Guide-DAX-intelligence-Microsoft/dp/1509306978/ref=sr_1_81?qid=1676965011&s=books&sr=1-81,1509306978,https://www.amazon.com/dp/1509306978/
81,81,Building Microservices: Designing Fine-Grained Systems,https://www.amazon.com/Building-Microservices-Designing-Fine-Grained-Systems/dp/1492034029/ref=sr_1_82?qid=1676965011&s=books&sr=1-82,1492034029,https://www.amazon.com/dp/1492034029/
82,82,Head First Design Patterns: Building Extensible and Maintainable Object-Oriented Software 2nd Edition,https://www.amazon.com/Head-First-Design-Patterns-Object-Oriented/dp/149207800X/ref=sr_1_83?qid=1676965011&s=books&sr=1-83,149207800X,https://www.amazon.com/dp/149207800X/
83,83,"Articulating Design Decisions: Communicate with Stakeholders, Keep Your Sanity, and Deliver the Best User Experience",https://www.amazon.com/Articulating-Design-Decisions-Communicate-Stakeholders/dp/1492079227/ref=sr_1_84?qid=1676965011&s=books&sr=1-84,1492079227,https://www.amazon.com/dp/1492079227/
84,84,CompTIA A+ Core 1 (220-1101) and Core 2 (220-1102) Exam Cram,https://www.amazon.com/CompTIA-Core-220-1101-220-1102-Exam/dp/0137637543/ref=sr_1_85?qid=1676965011&s=books&sr=1-85,0137637543,https://www.amazon.com/dp/0137637543/
85,85,"Cloud FinOps: Collaborative, Real-Time Cloud Value Decision Making",https://www.amazon.com/Cloud-FinOps-Collaborative-Real-Time-Decision/dp/1492098353/ref=sr_1_81?qid=1676965011&s=books&sr=1-81,1492098353,https://www.amazon.com/dp/1492098353/
86,86,AWS Certified Cloud Practitioner Study Guide: CLF-C01 Exam,https://www.amazon.com/Certified-Cloud-Practitioner-Study-Guide/dp/1119490707/ref=sr_1_82?qid=1676965011&s=books&sr=1-82,1119490707,https://www.amazon.com/dp/1119490707/
87,87,Refactoring: Improving the Design of Existing Code (2nd Edition) (Addison-Wesley Signature Series (Fowler)),https://www.amazon.com/Refactoring-Improving-Existing-Addison-Wesley-Signature/dp/0134757599/ref=sr_1_83?qid=1676965011&s=books&sr=1-83,0134757599,https://www.amazon.com/dp/0134757599/
88,88,Laws of UX: Using Psychology to Design Better Products & Services,https://www.amazon.com/Laws-UX-Psychology-Products-Services/dp/149205531X/ref=sr_1_84?qid=1676965011&s=books&sr=1-84,149205531X,https://www.amazon.com/dp/149205531X/
89,89,"C# 11 and .NET 7 – Modern Cross-Platform Development Fundamentals: Start building websites and services with ASP.NET Core 7, Blazor, and EF Core 7, 7th Edition",https://www.amazon.com/11-NET-Cross-Platform-Development-Fundamentals/dp/1803237805/ref=sr_1_85?qid=1676965011&s=books&sr=1-85,1803237805,https://www.amazon.com/dp/1803237805/
90,90,Escaping the Build Trap: How Effective Product Management Creates Real Value,https://www.amazon.com/Escaping-Build-Trap-Effective-Management/dp/149197379X/ref=sr_1_86?qid=1676965011&s=books&sr=1-86,149197379X,https://www.amazon.com/dp/149197379X/
91,91,"Deep Learning with Python, Second Edition",https://www.amazon.com/Learning-Python-Second-Fran%C3%A7ois-Chollet/dp/1617296864/ref=sr_1_87?qid=1676965011&s=books&sr=1-87,1617296864,https://www.amazon.com/dp/1617296864/
92,92,Office 365 All-in-One For Dummies (For Dummies (Computer/Tech)),https://www.amazon.com/Office-All-One-Dummies-Computer/dp/1119830702/ref=sr_1_88?qid=1676965011&s=books&sr=1-88,1119830702,https://www.amazon.com/dp/1119830702/
93,93,SHRM-CP/SHRM-SCP Certification All-in-One Exam Guide,https://www.amazon.com/SHRM-CP-SHRM-SCP-Certification-All-Guide/dp/1259583422/ref=sr_1_89?qid=1676965011&s=books&sr=1-89,1259583422,https://www.amazon.com/dp/1259583422/
94,94,Python for Everybody: Exploring Data in Python 3,https://www.amazon.com/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=sr_1_90?qid=1676965011&s=books&sr=1-90,B01IA5VIFM,https://www.amazon.com/dp/B01IA5VIFM/
95,95,The Art of Doing Science and Engineering: Learning to Learn,https://www.amazon.com/Art-Doing-Science-Engineering-Learning/dp/1732265178/ref=sr_1_91?qid=1676965011&s=books&sr=1-91,1732265178,https://www.amazon.com/dp/1732265178/
96,96,"The YouTube Formula: How Anyone Can Unlock the Algorithm to Drive Views, Build an Audience, and Grow Revenue",https://www.amazon.com/YouTube-Formula-Algorithm-Audience-Revenue/dp/B09XY1HQ32/ref=sr_1_97?qid=1676965020&s=books&sr=1-97,B09XY1HQ32,https://www.amazon.com/dp/B09XY1HQ32/
97,97,"The Art of Game Design: A Book of Lenses, Third Edition",https://www.amazon.com/Art-Game-Design-Lenses-Third/dp/1138632058/ref=sr_1_98?qid=1676965020&s=books&sr=1-98,1138632058,https://www.amazon.com/dp/1138632058/
98,98,Linux Bible,https://www.amazon.com/Linux-Bible-Christopher-Negus/dp/1119578884/ref=sr_1_99?qid=1676965020&s=books&sr=1-99,1119578884,https://www.amazon.com/dp/1119578884/
99,99,"Microsoft Power BI Quick Start Guide: The ultimate beginner's guide to data modeling, visualization, digital storytelling, and more, 3rd Edition",https://www.amazon.com/Microsoft-Power-Quick-Start-Guide/dp/1804613495/ref=sr_1_100?qid=1676965020&s=books&sr=1-100,1804613495,https://www.amazon.com/dp/1804613495/
100,100,QuickBooks Online For Dummies (For Dummies (Computer/Tech)),https://www.amazon.com/QuickBooks-Online-2023-Dummies-Computer/dp/1119910005/ref=sr_1_101?qid=1676965020&s=books&sr=1-101,1119910005,https://www.amazon.com/dp/1119910005/
101,101,PHP & MySQL: Server-side Web Development,https://www.amazon.com/PHP-MySQL-Server-side-Web-Development/dp/1119149223/ref=sr_1_97?qid=1676965020&s=books&sr=1-97,1119149223,https://www.amazon.com/dp/1119149223/
102,102,"Tour of C++, A (C++ In-Depth Series)",https://www.amazon.com/Tour-C-Bjarne-Stroustrup/dp/0136816487/ref=sr_1_98?qid=1676965020&s=books&sr=1-98,0136816487,https://www.amazon.com/dp/0136816487/
103,103,Mathematics for Machine Learning,https://www.amazon.com/Mathematics-Machine-Learning-Peter-Deisenroth/dp/110845514X/ref=sr_1_99?qid=1676965020&s=books&sr=1-99,110845514X,https://www.amazon.com/dp/110845514X/
104,104,"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps",https://www.amazon.com/Machine-Learning-Design-Patterns-Preparation/dp/1098115783/ref=sr_1_100?qid=1676965020&s=books&sr=1-100,1098115783,https://www.amazon.com/dp/1098115783/
